node_idx,x,y,elevation,flow_accumulation,mean_depth,max_depth
3544,802786.3,349955.38,298.24527,1.0,0.6478051,1.1964111
1534,803351.56,349482.44,317.9481,3.0,0.63477224,1.720581
1245,802976.56,349582.44,306.74704,5.0,0.62633467,2.3423157
1701,802051.56,349407.44,344.74496,1.0,0.6218302,1.8464966
2817,802301.56,348757.44,333.8302,1.0,0.6118825,1.572113
3395,802796.5,349938.12,298.28217,3.0,0.6118388,1.1629028
1885,803576.56,349357.44,330.37003,1.0,0.60933584,0.9934387
2837,802326.56,348732.44,335.69897,1.0,0.60298043,1.738739
804,802976.56,349757.44,306.30847,3.0,0.60112375,2.7808533
1324,803226.56,349557.44,306.5216,1.0,0.5952011,2.567749
370,802651.56,350007.44,296.9253,10.0,0.58433425,1.3004761
3269,802789.75,350003.78,298.31305,1.0,0.5816049,1.136383
1457,803126.56,349507.44,307.15042,1.0,0.58057636,1.9388733
1548,803701.56,349482.44,331.10007,7.0,0.57671213,0.8791504
561,802876.56,349882.44,298.4018,1.0,0.57257855,1.1115417
3390,802881.75,349983.84,298.3255,1.0,0.57048404,1.1341248
3539,802875.9,350002.97,298.32867,2.0,0.56441975,1.1005554
1483,801776.56,349482.44,338.73294,1.0,0.56330377,1.0084534
2796,802276.56,348782.44,331.82312,1.0,0.5556248,1.272522
3416,802765.6,349966.38,298.34375,1.0,0.55012816,1.0725403
1907,802176.56,349332.44,329.54672,1.0,0.548239,1.4752502
2581,801976.56,349007.44,354.04123,1.0,0.5462076,0.7630005
3268,802772.56,349993.7,298.34985,2.0,0.5455304,1.0848389
2660,802201.56,348932.44,330.391,1.0,0.5453712,1.3764648
1616,803676.56,349457.44,330.72174,1.0,0.54413867,0.71817017
1686,803676.56,349432.44,330.72174,1.0,0.54401267,0.7163086
1533,803326.56,349482.44,314.47516,1.0,0.54177874,1.2915039
1792,802926.56,349382.44,315.3472,1.0,0.5404597,1.2504883
1658,802976.56,349432.44,310.72324,1.0,0.53995603,1.2000122
774,802076.56,349757.44,336.2889,1.0,0.53429896,0.7145996
2855,802326.56,348707.44,342.1244,3.0,0.5341018,1.3555298
3267,802755.44,349983.6,298.36166,2.0,0.5323382,1.0441895
469,802901.56,349932.44,298.4497,2.0,0.52731186,1.0714722
2661,802226.56,348932.44,326.36005,2.0,0.5246381,1.3502502
1383,803001.56,349532.44,307.80832,1.0,0.522623,1.2810669
513,802876.56,349907.44,298.45468,1.0,0.5214751,1.0562439
2592,802251.56,349007.44,329.38303,3.0,0.5187575,1.3937683
1772,802101.56,349382.44,337.93954,1.0,0.5057114,1.4654236
1771,802076.56,349382.44,343.43222,3.0,0.503301,1.4390259
2610,802076.56,348982.44,348.53455,1.0,0.5016643,1.0766602
2794,802226.56,348782.44,342.3408,1.0,0.5007524,1.3802795
3545,802769.2,349945.28,298.40088,1.0,0.49681327,1.033905
1726,802951.56,349407.44,313.46875,3.0,0.49675196,1.3713989
1535,803376.56,349482.44,319.92215,1.0,0.49176535,1.3803406
3270,802806.9,350013.88,298.40723,2.0,0.49038243,1.0454407
122,802751.56,350232.44,302.15005,3.0,0.49023044,1.5522766
619,803126.56,349857.44,300.2212,1.0,0.48920578,1.2863464
618,803101.56,349857.44,298.95453,1.0,0.4888313,1.101654
732,802126.56,349782.44,330.89374,2.0,0.48766574,0.9687195
2632,802051.56,348957.44,351.7221,4.0,0.48429576,1.3869324
2819,802351.56,348757.44,330.86127,3.0,0.48010713,1.4295044
1666,803176.56,349432.44,314.57056,2.0,0.47997025,1.5570068
401,803226.56,349982.44,311.62167,3.0,0.47933835,1.309906
2730,802276.56,348857.44,325.88196,1.0,0.47888085,1.1655273
1460,803201.56,349507.44,306.75018,1.0,0.47733557,2.3391724
1631,802026.56,349432.44,342.06027,1.0,0.47710007,1.742157
3396,802779.3,349928.03,298.42346,1.0,0.47476417,1.0119324
3415,802748.44,349956.28,298.41672,1.0,0.47402805,0.9545288
3133,802496.25,349104.44,313.31168,2.0,0.47021788,3.1654358
2016,801676.56,349282.44,357.4879,1.0,0.46327028,0.6540222
2611,802101.56,348982.44,337.2098,1.0,0.4626511,0.967041
1464,803301.56,349507.44,311.88678,1.0,0.46153465,1.1999817
3266,802738.3,349973.5,298.4283,1.0,0.4612465,0.91937256
823,802051.56,349732.44,336.364,1.0,0.46084484,0.63897705
1481,803726.56,349507.44,331.22424,1.0,0.4555091,0.75509644
1793,802951.56,349382.44,315.4339,1.0,0.45437914,1.1629028
1838,802101.56,349357.44,344.04547,1.0,0.4505767,1.4958496
1973,802201.56,349307.44,331.1482,2.0,0.4502337,1.3319397
1463,803276.56,349507.44,310.55502,1.0,0.44933894,1.2080383
1075,803751.56,349657.44,333.31287,1.0,0.4485387,0.52175903
1007,803776.56,349682.44,333.31308,2.0,0.44835123,0.5217285
1076,803776.56,349657.44,333.31308,1.0,0.44832882,0.52142334
1006,803751.56,349682.44,333.31464,2.0,0.44685745,0.52005005
1482,801751.56,349482.44,338.85657,1.0,0.44311604,0.8772278
235,803126.56,350157.44,312.3125,10.0,0.44207314,1.2138367
251,803526.56,350157.44,327.4375,4.0,0.44140354,0.58154297
2532,802151.56,349057.44,342.12775,3.0,0.440798,1.236206
1496,802301.56,349482.44,315.87805,1.0,0.43948892,1.3713074
1702,802076.56,349407.44,337.75552,1.0,0.43863145,1.3233948
2386,802551.56,349132.44,317.08746,1.0,0.43674794,1.2415466
2772,802201.56,348807.44,342.6933,4.0,0.4352646,1.111145
356,802651.56,350032.44,295.75177,1.0,0.4336629,1.6894531
2750,802201.56,348832.44,336.1315,1.0,0.43229705,1.1610413
1839,802126.56,349357.44,339.1312,1.0,0.43043727,1.4272156
1462,803251.56,349507.44,308.8182,1.0,0.4303259,0.9493103
2533,802176.56,349057.44,339.25647,1.0,0.43015113,1.4865112
1392,803226.56,349532.44,307.1222,1.0,0.42936194,1.9671631
3271,802824.0,350023.97,298.47034,1.0,0.42920277,0.9762268
1770,802051.56,349382.44,347.98566,1.0,0.42899382,0.94281006
160,802926.56,350207.44,316.32544,1.0,0.42617628,1.3639832
1566,802326.56,349457.44,315.8329,1.0,0.42519403,1.3595886
306,803126.56,350107.44,308.90454,1.0,0.42509225,1.2975769
2799,802351.56,348782.44,328.68033,1.0,0.42377144,1.402008
1531,803276.56,349482.44,311.7911,1.0,0.4237662,0.9596863
3139,802421.3,349011.38,318.52994,1.0,0.41980666,0.9163513
1532,803301.56,349482.44,312.7986,1.0,0.4182348,0.92388916
734,802201.56,349782.44,325.5187,1.0,0.41792297,1.1895447
1962,801926.56,349307.44,355.73672,1.0,0.41791424,1.3227844
1599,803251.56,349457.44,314.80167,1.0,0.4176842,1.221405
731,802101.56,349782.44,333.59198,1.0,0.41644937,0.9963684
2732,802326.56,348857.44,323.75156,1.0,0.41557857,1.1907959
3138,802433.8,349026.88,316.44055,1.0,0.41479096,0.87008667
263,802951.56,350132.44,312.92902,3.0,0.4143542,1.3734131
2701,802151.56,348882.44,342.25992,1.0,0.41427693,1.2299805
204,803201.56,350182.44,315.125,3.0,0.41361827,0.7392578
3421,802850.7,350015.12,298.48907,1.0,0.41107804,0.94415283
1991,802976.56,349307.44,321.8371,3.0,0.41103062,1.1003723
1428,802301.56,349507.44,312.6029,1.0,0.4103028,1.1803284
2152,802101.56,349232.44,347.87537,1.0,0.40900573,1.3453064
128,802901.56,350232.44,314.56522,1.0,0.4079449,1.2661133
1497,802326.56,349482.44,312.99008,1.0,0.40420845,1.2857056
262,802926.56,350132.44,308.76447,1.0,0.40155613,1.3290405
1841,802176.56,349357.44,325.50055,1.0,0.399505,1.1964417
1734,803151.56,349407.44,313.96457,1.0,0.3989364,1.2764282
587,803526.56,349882.44,315.5491,1.0,0.39871955,1.3665771
1587,802951.56,349457.44,311.3706,1.0,0.39710876,0.9941406
2798,802326.56,348782.44,328.62552,1.0,0.39518347,1.2017822
227,802926.56,350157.44,311.34534,1.0,0.39504725,1.297821
1859,802926.56,349357.44,317.81866,1.0,0.39376095,1.1933899
1657,802951.56,349432.44,311.36392,3.0,0.39165643,1.0586548
2731,802301.56,348857.44,323.76996,3.0,0.39091206,1.117218
1111,802951.56,349632.44,306.85233,1.0,0.39086506,2.2370605
1311,802901.56,349557.44,314.32333,2.0,0.3900525,1.1515198
2586,802101.56,349007.44,340.47485,1.0,0.3896407,1.1397705
369,802626.56,350007.44,295.2491,1.0,0.38958475,1.6460571
400,803201.56,349982.44,309.25647,1.0,0.38915595,1.117218
2835,802276.56,348732.44,342.72568,1.0,0.38826764,0.9248047
299,802951.56,350107.44,308.11703,1.0,0.3879898,1.2796936
238,803201.56,350157.44,315.15198,1.0,0.38678995,0.7022095
2838,802351.56,348732.44,333.19098,1.0,0.3867378,1.1257019
722,803526.56,349807.44,314.02695,2.0,0.38648576,1.2392883
1031,802551.56,349657.44,306.07663,1.0,0.38557544,1.1520691
2857,802376.56,348707.44,337.28787,2.0,0.38439396,1.2637024
2585,802076.56,349007.44,349.88293,3.0,0.38434252,1.0440979
1466,803351.56,349507.44,321.78983,1.0,0.38353735,1.1790771
305,803101.56,350107.44,307.96738,2.0,0.3825452,1.2993469
721,803501.56,349807.44,310.82263,1.0,0.38059342,0.8671875
2332,802576.56,349157.44,319.94778,1.0,0.38020906,1.2340393
1567,802351.56,349457.44,312.82773,1.0,0.3799991,1.2437439
3246,802430.7,349054.94,317.23148,1.0,0.37979993,1.0312805
1840,802151.56,349357.44,331.4161,5.0,0.3785962,1.4066772
1528,803201.56,349482.44,309.2186,3.0,0.37753943,1.0672607
1256,803251.56,349582.44,307.03946,1.0,0.37710392,2.0498962
3247,802418.2,349039.44,318.10495,1.0,0.37624678,1.013794
3137,802446.25,349042.4,315.54007,1.0,0.37586856,0.90734863
1604,803376.56,349457.44,320.4988,1.0,0.3756677,0.9884033
586,803501.56,349882.44,310.86453,1.0,0.37498605,1.166565
955,802301.56,349682.44,312.5207,1.0,0.3746262,0.9734497
1461,803226.56,349507.44,307.99292,2.0,0.37427157,1.096283
2559,802101.56,349032.44,346.0598,1.0,0.37292096,1.2539673
2153,802126.56,349232.44,343.1382,1.0,0.37179917,1.2072754
386,802626.56,349982.44,297.242,1.0,0.37156987,1.1165771
1565,802301.56,349457.44,317.49155,1.0,0.3709427,1.1295471
159,802901.56,350207.44,311.73505,1.0,0.37024632,1.1412048
1600,803276.56,349457.44,316.97037,1.0,0.3678105,1.1532898
1636,802351.56,349432.44,313.15308,1.0,0.36633983,1.0029907
387,802651.56,349982.44,297.25,1.0,0.3651199,1.1368408
2037,802201.56,349282.44,331.37247,1.0,0.36309677,1.0590515
1425,802226.56,349507.44,322.76105,1.0,0.36290643,1.0881042
2716,802526.56,348882.44,330.75998,1.0,0.36214486,1.2089233
937,803651.56,349707.44,325.0239,1.0,0.3618542,0.9790344
1667,803201.56,349432.44,315.74823,1.0,0.36117333,0.86032104
3016,802894.3,349847.2,306.92612,1.0,0.360206,1.1543884
1988,802901.56,349307.44,320.9829,1.0,0.35876253,0.9093933
2139,801726.56,349232.44,357.72064,1.0,0.3579994,0.5690918
2140,801751.56,349232.44,357.72064,1.0,0.35799792,0.56900024
641,802251.56,349832.44,319.72592,4.0,0.3571508,0.92837524
592,802276.56,349857.44,317.91504,1.0,0.35629892,0.9479675
2655,802076.56,348932.44,347.36142,1.0,0.3562962,0.81222534
2560,802126.56,349032.44,339.74423,1.0,0.355812,1.1561279
963,802576.56,349682.44,307.22696,1.0,0.35523158,1.1054077
2659,802176.56,348932.44,332.38556,3.0,0.35350347,0.93136597
1756,801701.56,349382.44,353.01923,1.0,0.3530025,1.133667
439,803201.56,349957.44,307.77994,1.0,0.3528573,1.059082
1725,802926.56,349407.44,314.40475,1.0,0.35234886,0.8088989
2780,802401.56,348807.44,328.89587,1.0,0.35082078,1.1760559
1632,802051.56,349432.44,338.27823,1.0,0.3500967,1.2792053
2595,802451.56,349007.44,315.64215,1.0,0.34995443,0.867218
608,802801.56,349857.44,303.8162,1.0,0.34932518,1.0486755
466,802826.56,349932.44,298.55536,1.0,0.3485889,0.8972473
2534,802201.56,349057.44,334.9465,1.0,0.34843147,1.1833496
1294,802376.56,349557.44,306.13593,1.0,0.34757498,0.89715576
1860,802951.56,349357.44,317.8706,1.0,0.34610933,1.1555481
1365,802451.56,349532.44,304.792,1.0,0.34493455,1.3459473
184,802701.56,350182.44,295.71335,1.0,0.34460625,1.1023865
1468,803401.56,349507.44,324.5881,1.0,0.34354594,0.87942505
1605,803401.56,349457.44,321.4278,3.0,0.34097785,0.8685303
3546,802751.94,349934.5,298.5627,1.0,0.34090602,0.8713074
3245,802443.2,349070.44,316.43515,1.0,0.34070078,1.0695496
1099,802526.56,349632.44,304.5178,1.0,0.34003907,1.2079773
2657,802126.56,348932.44,335.1114,1.0,0.33997482,0.75109863
1396,803326.56,349532.44,317.79962,1.0,0.33982596,1.0821228
2033,802101.56,349282.44,343.05405,1.0,0.33966196,0.98046875
1758,801751.56,349382.44,344.4936,1.0,0.339263,1.0546265
270,803126.56,350132.44,310.611,1.0,0.3392524,1.0705872
1494,802251.56,349482.44,320.36105,1.0,0.33919963,0.94033813
1727,802976.56,349407.44,315.03,1.0,0.3387397,0.9871826
193,802926.56,350182.44,313.3853,1.0,0.33798778,1.1189575
615,803026.56,349857.44,298.66183,1.0,0.33749968,0.97817993
1955,801751.56,349307.44,353.23245,1.0,0.33686647,1.0608215
1735,803176.56,349407.44,316.5882,1.0,0.33675706,1.092102
1549,801726.56,349457.44,344.4261,1.0,0.33602437,1.1117554
1325,803251.56,349557.44,307.1089,1.0,0.3358353,1.9804688
2276,802601.56,349182.44,322.77234,1.0,0.33555385,1.0202332
2737,802451.56,348857.44,325.5027,1.0,0.334841,1.1183167
1974,802226.56,349307.44,326.31232,1.0,0.33427486,0.99368286
1656,802926.56,349432.44,313.7289,1.0,0.3333069,1.02771
485,803301.56,349932.44,310.07928,1.0,0.33235276,1.1847229
1630,802001.56,349432.44,346.07477,1.0,0.33198288,1.5379333
3030,801913.3,349116.66,355.03116,1.0,0.33174068,0.81240845
3132,802508.75,349119.78,312.3948,1.0,0.3317241,4.08432
428,802926.56,349957.44,298.65723,1.0,0.33165294,0.8537903
2797,802301.56,348782.44,329.20764,1.0,0.33126423,0.7590637
2571,802526.56,349032.44,319.31583,1.0,0.33104673,1.1251221
2759,802426.56,348832.44,326.51062,1.0,0.33098838,1.0435486
1525,803126.56,349482.44,309.28247,1.0,0.3308455,1.0577087
1101,802576.56,349632.44,314.3634,1.0,0.33060908,0.8942261
3669,802431.2,349247.2,315.03568,1.0,0.32983395,0.78189087
1976,802476.56,349307.44,314.14236,5.0,0.32982123,1.4058228
2631,802026.56,348957.44,352.98215,2.0,0.32947972,0.8289795
1668,803226.56,349432.44,316.8828,1.0,0.32910994,0.9343872
1598,803226.56,349457.44,311.80972,1.0,0.3285223,0.8866577
2155,802176.56,349232.44,337.36258,1.0,0.32708037,1.2521973
2488,802251.56,349082.44,329.70413,1.0,0.32688206,0.91955566
2616,802226.56,348982.44,331.09476,1.0,0.32632643,1.057251
1393,803251.56,349532.44,307.55585,4.0,0.32608294,1.5333252
1480,803701.56,349507.44,331.3579,1.0,0.3260135,0.62164307
2566,802276.56,349032.44,330.36243,1.0,0.32511902,1.0536194
2856,802351.56,348707.44,337.40195,1.0,0.32502177,1.2145386
1508,802601.56,349482.44,320.45413,1.0,0.3249629,0.95199585
1773,802126.56,349382.44,332.7855,1.0,0.32471156,0.97164917
2692,802551.56,348907.44,329.01083,1.0,0.32443428,1.0857849
1314,802976.56,349557.44,308.3053,1.0,0.3240978,1.0471802
1889,801726.56,349332.44,354.1909,2.0,0.3233738,1.1825562
1733,803126.56,349407.44,311.18768,1.0,0.32233006,0.91574097
2818,802326.56,348757.44,331.3389,2.0,0.32212272,1.0013428
1814,803476.56,349382.44,328.79843,31.0,0.32206663,0.83444214
1588,802976.56,349457.44,309.59546,1.0,0.32203382,0.8257446
2617,802251.56,348982.44,325.66528,3.0,0.32192263,0.9092407
2678,802126.56,348907.44,340.97742,1.0,0.32135254,1.0791626
1924,802901.56,349332.44,319.65704,1.0,0.32098696,0.861084
1179,802951.56,349607.44,306.95514,1.0,0.32074618,2.1342163
2211,802201.56,349207.44,331.38223,2.0,0.320594,1.0416565
1560,802001.56,349457.44,340.5817,1.0,0.31928185,1.1338501
